author;date;genre;wikipedia;title;img;Musee;Type
Pablo Picasso;1881 - 1973;Cubism;http://en.wikipedia.org/wiki/Pablo_Picasso;Femme assise (Sitzende Frau);https://upload.wikimedia.org/wikipedia/en/3/36/Pablo_Picasso%2C_1909%2C_Femme_assise_%28Sitzende_Frau%29%2C_oil_on_canvas%2C_100_x_80_cm%2C_Staatliche_Museen_zu_Berlin%2C_Neue_Nationalgalerie.jpg;Staatliche Museen;Tableau
Henri Rousseau;1844 – 1910;Primitivism;https://en.wikipedia.org/wiki/Henri_Rousseau;The Merry Jesters;https://upload.wikimedia.org/wikipedia/commons/7/78/Henri_Rousseau_-_The_Merry_Jesters.jpg;;Tableau
Claude Monet;1840 - 1926;Impressionism;http://en.wikipedia.org/wiki/Claude_Monet;Women in the Garden;https://upload.wikimedia.org/wikipedia/commons/9/95/Claude_Monet_024.jpg;Musée d'Orsay;Tableau
Gustav Klimt;1862 - 1918;Symbolism;http://en.wikipedia.org/wiki/Gustav_Klimt;Philosophie;https://upload.wikimedia.org/wikipedia/commons/d/de/Philosophy-final-state-1907.jpg;;Tableau
Eugene Delacroix;1798 – 1863;Romanticism;https://en.wikipedia.org/wiki/Eugene_Delacroix;The Duke of Morny's Apartment;https://upload.wikimedia.org/wikipedia/commons/0/0d/Eug%C3%A8ne_Delacroix%2C_%22Appartement_du_comte_de_Mornay_rue_de_Verneuil%22.jpg;Louvre;Tableau
Marc Chagall;1887 - 1985;Primitivism;http://en.wikipedia.org/wiki/Marc_Chagall;To My Betrothed;https://upload.wikimedia.org/wikipedia/en/d/de/Marc_Chagall%2C_1911%2C_To_My_Betrothed%2C_gouache%2C_watercolor%2C_metallic_paint%2C_charcoal%2C_and_ink_on_paper%2C_mounted_on_cardboard%2C_61_x_44.5_cm%2C_Philadelphia_Museum_of_Art.jpg;Philadelphia Museum of Art;Tableau
Michelangelo;1475 – 1564;Renaissance;https://en.wikipedia.org/wiki/Michelangelo;Madonna and Child;https://upload.wikimedia.org/wikipedia/commons/8/80/Madonna_michelangelo1.jpg;Madonna and Child;Tableau
Kazimir Malevich;1879 - 1935;Suprematism;http://en.wikipedia.org/wiki/Kazimir_Malevich;Composition with the Mona Lisa;https://upload.wikimedia.org/wikipedia/commons/4/4b/Kazimir_Malevich%2C_1914%2C_Composition_with_the_Mona_Lisa%2C_oil%2C_collage_and_graphite_on_canvas%2C_62.5_%C3%97_49.3_cm%2C_Russian_Museum.jpg;;Tableau
Vincent van Gogh;1853 – 1890;Post-Impressionism;http://en.wikipedia.org/wiki/Vincent_van_Gogh;Portrait of Père Tanguy;https://upload.wikimedia.org/wikipedia/commons/5/5f/Van_Gogh_-_Portrait_of_Pere_Tanguy_1887-8.JPG;Musée Rodin;Tableau
Leonardo da Vinci;1452 - 1519;Renaissance;http://en.wikipedia.org/wiki/Leonardo_da_Vinci;La Belle Ferronnière;https://upload.wikimedia.org/wikipedia/commons/c/c3/Leonardo_da_Vinci_%28attrib%29-_la_Belle_Ferroniere.jpg;;Tableau
