author;date;genre;title;museum;type;imgURL
Peter Paul Rubens;1577 - 1640;Baroque;Equestrian portrait of the Duke of Lerma;;Tableau;https://upload.wikimedia.org/wikipedia/commons/9/95/Retrato_ecuestre_del_duque_de_Lerma_%28Rubens%29.jpg
Peter Paul Rubens;1577 - 1640;Baroque;The Judgement of Paris;;Tableau;https://upload.wikimedia.org/wikipedia/commons/2/21/Peter_Paul_Rubens_-_The_Judgement_of_Paris%2C_c.1606_%28Museo_del_Prado%29.jpg
Peter Paul Rubens;1577 - 1640;Baroque;Portrait of a Young Woman with a Rosary;Thyssen-Bornemisza Museum;Tableau;https://upload.wikimedia.org/wikipedia/commons/9/94/0_Portrait_d%27une_jeune_femme_avec_un_rosaire_-_P.P._Rubens_-_Mus%C3%A9e_Thyssen-Bornemisza_%282%29.JPG
Peter Paul Rubens;1577 - 1640;Baroque;Venus at the Mirror;;Tableau;https://upload.wikimedia.org/wikipedia/commons/c/c6/Rubens_Venus_at_a_Mirror_c1615.jpg
Peter Paul Rubens;1577 - 1640;Baroque;Diana Returning from Hunt;Gemðldegalerie Alte Meister;Tableau;https://upload.wikimedia.org/wikipedia/commons/b/bc/Peter_Paul_Rubens_-_Diana_Returning_from_Hunt_-_WGA20290.jpg
Peter Paul Rubens;1577 - 1640;Baroque;The Rape of the Daughters of Leucippus;Alte Pinakothek;Tableau;https://upload.wikimedia.org/wikipedia/commons/3/31/07leucip.jpg
Peter Paul Rubens;1577 - 1640;Baroque;Portrait of Marchesa Brigida Spinola-Doria;;Tableau;https://upload.wikimedia.org/wikipedia/commons/2/2d/Marchesa_Brigida_Spinola-Doria.jpg
Peter Paul Rubens;1577 - 1640;Baroque;Portrait of King Philip IV of Spain;;Tableau;https://upload.wikimedia.org/wikipedia/commons/8/81/Pieter_Paul_Rubens_-_Portrait_of_King_Philip_IV_%28Hermitage%29.jpg
Peter Paul Rubens;1577 - 1640;Baroque;Portrait of Elisabeth of France;;Tableau;https://upload.wikimedia.org/wikipedia/commons/9/90/Peter_Paul_Rubens_186.jpg
Peter Paul Rubens;1577 - 1640;Baroque;Portrait of Ambrogio Spinola;;Tableau;https://upload.wikimedia.org/wikipedia/commons/d/da/Peter_Paul_Rubens_-_Portrait_of_Ambrogio_Spinola_-_WGA20376.jpg
Rembrandt;1606 - 1669;Baroque;A young Rembrandt;;Tableau;https://upload.wikimedia.org/wikipedia/commons/7/7e/Self-portrait_%281628-1629%29%2C_by_Rembrandt.jpg
