URL;Titre;Chapeau;Mouvement;Date de début;Date de fin;Nom du lieu;Adresse du lieu;Code postal;Ville;Coordonnées géographiques;Accès PMR;Accès mal voyant;Accès mal entendant;Transport;Nom de contact;Téléphone de contact;Email de contact;Type d'accès;URL de réservation;Téléphone de réservation;Email de réservation;Type de prix;Détail du prix;Image de couverture;URL de l'image;
https://quefaire.paris.fr/121542/mythologie-et-amours;Mythologie Et Amours;Originaire du Bengale occidental, ce jeune artiste indien utilise la technique tempera dans ses œuvres. Fort d’un héritage culturel riche, il mêle des thèmes occidentaux dans ses représentations où mythologie, religion et histoire de l’art se rencontrent, interagissent et se répondent. Avec le but de faire comprendre et respecter les différences, l’artiste a;Art Contemporain;2021-08-03T14:30:00+02:00;2021-08-28T19:00:00+02:00;Centre LGBTQ+;63 rue Beaubourg;75003;Paris;48.8630699966,2.35432002803;1;0;0;11 : Rambuteau (195m);Centre LGBTQ+;624782922;;libre;;;;Gratuit;;https://opendata.paris.fr/api/v2/catalog/datasets/que-faire-a-paris-/files/df9980b65ac71d9fdaf8416f9527ac41;https://cdn.paris.fr/qfap/2021/08/05/83671_QXZpaml0IEdob3NoIGV4cG9zaXRpb24gZHUgMiBhdSAyOSBBb3V0IGRvc3NpZXIgZGUgcHJlc3NlLmpwZw==.jpg;
https://quefaire.paris.fr/116768/uderzo-comme-une-potion-magique;Uderzo, Comme Une Potion Magique;Albert Uderzo s’est éteint le 24 mars 2020, à l’âge de 92 ans. Un an après sa disparition, le musée Maillol accueille la toute première grande exposition consacrée à son oeuvre, du 27 mai au 30 septembre 2021, à Paris.;Beaux-Arts;2021-05-27T10:30:00+02:00;2021-09-30T18:30:00+02:00;Fondation Dina Vierny - Musée Maillol;61 Rue de Grenelle;75007;Paris;48.852478,2.329704;0;0;0;4 : Saint-Sulpice (108m);Musée Maillol;;;libre;;;;Payant;10 - 14,50 €;https://opendata.paris.fr/api/v2/catalog/datasets/que-faire-a-paris-/files/601b2c977fa25dee69e9e84d202a3370;https://cdn.paris.fr/qfap/2021/05/26/79842_MTItdWRlcnpvX3NpdGUtaW50ZXJuZXQxMC5qcGVn.jpg;
https://quefaire.paris.fr/114115/napoleon-encore-de-marina-abramovic-a-yan-pei-ming;Napoléon ? Encore ! - De Marina Abramović À Yan Pei-Ming;Génie pour les uns, ogre pour les autres, Napoléon a été le sujet et l’objet de centaines de milliers d’images, d’œuvres d’art, de livres puis de films, souvent engagés, de Jacques-Louis David ou Jean- Dominique Ingres à Larry Rivers ou Marcel Broodthaers, de Louis Lumière ou Abel Gance à Youssef Chahine ou Alexander Sokourov.;Histoire;2021-05-19T10:00:00+02:00;2022-02-13T18:00:00+01:00;Musée de l'Armée;129 rue de Grenelle;75007;Paris;48.855961,2.31245;0;0;0;8 : La Tour-Maubourg (261m);Musée de l'armée;;;libre;;;;Payant;11 - 14 €;https://opendata.paris.fr/api/v2/catalog/datasets/que-faire-a-paris-/files/03343a6218ee3bcb16932465e7d75374;https://cdn.paris.fr/qfap/2021/01/13/76798_TWFyaW5hIEFicmFtb3ZpYywgRXh0cmFpdCBkZSBsf29ldXZyZSBUaGUgSGVybywgMjAxMSwgdmlkw4dvIGNvdWxldXIgYXZlYyBzb24sIDE3IG1pbnV0ZXMsIENvbGxlY3Rpb24gZGUgbH9hcnRpc3RlLmpwZw==.jpg;
https://quefaire.paris.fr/3690/phono-museum-paris-le-musee-du-son-enregistre;Phono Museum Paris, Le Musée Du Son Enregistré;COMME TOUS LES AUTRES MUSÉES ET PAR DECISION ADMINISTRATIVE DUE AU COVID, LE MUSEE EST ACTUELLEMENT FERME;Sciences;2021-01-01T10:00:00+01:00;2021-12-31T18:00:00+01:00;PHONO Museum Paris;53 boulevard de Rochechouart;75009;Paris;48.882116,2.341354;1;1;0;2 : Anvers (222m);Association Phonoplanète;680615937;phonomp@gmail.com;libre;;;;Payant;Visite individuelle 10€;https://opendata.paris.fr/api/v2/catalog/datasets/que-faire-a-paris-/files/7d782fcd334c87cce8b0608ccae01204;https://quefaire-api.paris.fr/images/45543;
https://quefaire.paris.fr/121300/oceans-et-mers-plastifies;Océans Et Mers Plastifiés;Comment nos déchets forment-ils peu à peu en une gigantesque soupe de plastique océanique ? C’est ce que nous explique « Océans et mers plastifiés », une exposition pédagogique et scientifique réalisée par Expédition Med.;Sciences;2021-09-08T10:00:00+02:00;2022-07-13T17:00:00+02:00;Pavillon de l'eau;77 avenue de Versailles;75016;Paris;48.846375,2.273076;1;0;0;10 : Mirabeau (109m);Eau de Paris;01 42 24 54 02;pavillondeleau@eaudeparis.fr;libre;;;;Gratuit;;https://opendata.paris.fr/api/v2/catalog/datasets/que-faire-a-paris-/files/fbac31a2382b8e47ffafa95fb7781054;https://cdn.paris.fr/qfap/2021/07/26/83407_T2PDqWFucyBwbGFzdGlmaWVzLmpwZw==.jpg;
https://quefaire.paris.fr/117323/reunion-de-particules-en-corps-solides;"Vernissage : ""Réunion De Particules En Corps Solides""";"Atelier Martel a le plaisir de vous présenter l’exposition"" Réunion de particules en corps solides "" d’Hugo Deverchère, premier lauréat du prix Atelier Martel - Jeune Création. Vernissage en présence de l'artiste ce vendredi 10 juin 2021.  Au programme : décantation d'une tornade, aquariums, vidéos et photogravures...";Art Contemporain;2021-06-07T11:00:00+02:00;2021-09-03T18:00:00+02:00;Atelier Martel;8 bis rue d'Annam;75020;Paris;48.8663099794,2.3938199982;0;0;0;3, 3bis : Gambetta (377m);Atelier Martel;"09 63 20 87 57 ; 0659418639";;libre;;;;Gratuit;;https://opendata.paris.fr/api/v2/catalog/datasets/que-faire-a-paris-/files/cc862f9160cd45e1972bab2d0e6de1a3;https://cdn.paris.fr/qfap/2021/06/04/80252_ZXhwby5wbmc=.jpg;
https://quefaire.paris.fr/119954/giacometti-et-l-egypte-antique;Giacometti Et L'Égypte Antique;L’Institut Giacometti présente du 22 juin au 10 octobre 2021, une exposition inédite sur la relation d’Alberto Giacometti à l’art égyptien, en collaboration avec le musée du Louvre. L’exposition proposera un parcours thématique qui met en dialogue des œuvres emblématiques de Giacometti et des prêts exceptionnels d’œuvres du musée du Louvre.;Beaux-Arts;2021-06-22T10:00:00+02:00;2021-10-10T18:00:00+02:00;Institut Giacometti;5 rue Victor Schoelcher;75014;Paris;;0;0;0;4, 6 : Denfert - Rochereau (269m) 4, 6 : Raspail (342m);Institut Giacometti;;;reservation;https://giaco.shop.secutix.com/selection/timeslotpass?productId=101703888089;;;Payant;Le tarif plein est de 8,50€;https://opendata.paris.fr/api/v2/catalog/datasets/que-faire-a-paris-/files/13dc9d23e4db542ceeb2741e4117e7fa;https://cdn.paris.fr/qfap/2021/07/06/82261_Q2FwdHVyZSBk4oCZw6ljcmFuIDIwMjEtMDctMDYgw6AgMTAuMTMuMzgucG5n.jpg;
https://quefaire.paris.fr/116831/d-une-bulle-a-l-autre;D'Une Bulle À L'Autre...;"Conversation entre un Antiquaire passionné, spécialiste du Design des années 50 -60; une céramiste qui pratique l’art du Kintsugi et un peintre qui révèle la Lumière à travers le Noir.";Art Contemporain;2021-05-25T11:00:00+02:00;2021-09-30T19:00:00+02:00;COIN CANAL ANTIQUAIRE;1, rue de Marseille;75010;Paris;48.8713599922,2.36266002169;0;0;0;5 : Jacques Bonsergent (161m);COIN CANAL ANTIQUAIRE;142380030;coincanal@wanadoo.fr;libre;;142380030;coincanal@wanadoo.fr;Gratuit;;https://opendata.paris.fr/api/v2/catalog/datasets/que-faire-a-paris-/files/26746b7e4028c2669611796284683f82;https://quefaire.paris.fr/images/idee-2.jpg;
https://quefaire.paris.fr/114120/la-collection-morozov-icones-de-l-art-moderne;La Collection Morozov - Icônes De L’Art Moderne;La Fondation Louis Vuitton présentera, à partir du 24 février 2021, pour cinq mois, LA COLLECTION MOROZOV, l’une des plus importantes collections au monde d’art impressionniste et moderne.;Impressioniste;2021-09-22T11:00:00+02:00;2022-02-21T20:00:00+01:00;Fondation Louis Vuitton;8 Avenue du Mahatma Gandhi;75116;Paris;48.8766587,2.2633534;0;0;0;1 : Les Sablons (795m);Fondation Louis Vuitton;;;libre;;;;Payant;10 - 14€;https://opendata.paris.fr/api/v2/catalog/datasets/que-faire-a-paris-/files/c2cfd529dd76f4789e30e857e1dc8719;https://cdn.paris.fr/qfap/2021/01/13/76807_NDI5MTE5LTIwODd4MjUwMC5qcGc=.jpg;
https://quefaire.paris.fr/114118/chagall-modigliani-soutine-paris-pour-ecole-1905-1940;Chagall, Modigliani, Soutine… Paris Pour École;L'École de Paris désigne la scène artistique constituée par des artistes étrangers provenant de toute l’Europe, mais aussi d’Amérique, d’Asie et d’Afrique. Ce cosmopolitisme est sans précédent dans l’histoire de l’art.;Primitivism;2021-06-17T11:00:00+02:00;2021-10-31T18:00:00+01:00;Musée d'art et d'histoire du judaïsme;71 rue du Temple;75003;Paris;48.86095,2.35564;0;0;0;11 : Rambuteau (193m);MAHJ;;;libre;;;;Payant;7 - 10 €;https://opendata.paris.fr/api/v2/catalog/datasets/que-faire-a-paris-/files/917bc6be38609c77160f10be442b765b;https://cdn.paris.fr/qfap/2021/01/13/76802_cm1uLW1vZGlnbGlhbmktZGVkaWUuanBn.jpg;
