titre;type;mouvement;auteur;musee;startdate;endate;;;
Mythologie et Amours;Tableau;Realism;;Centre LGBTQ+;2021-08-03T14:30:00+02:00;2021-08-28T19:00:00+02:00;;;
The Dark Love Boat;Photographie;contemporain;;Médiathèque Edmond Rostand;2021-09-25T13:00:00+02:00;2021-10-23T18:00:00+02:00;;;Realism
Moriyama – Tomatsu : Tokyo;Photographie;contemporain;;marion devys;2021-05-19T11:00:00+02:00;2021-10-24T20:00:00+02:00;;;contemporain
Caricasourds : exposition;;Illustration;;Bibliothèque Louise Walser-Gaillard (ex Chaptal);2021-09-07T13:00:00+02:00;2021-10-30T18:00:00+02:00;;;Illustration
Dans les studios des frères Séeberger.;Photographie;contemporain;;Château de Maisons;2021-05-29T10:00:00+02:00;2021-10-11T18:00:00+02:00;;;Design
EXPOSITION GAMINS ET POUPARDES: ENFANCES PARISIENNES AU XIXe;Photographie;contemporain;;Tour Jean sans Peur;2021-06-30T13:30:00+02:00;2022-05-29T18:00:00+02:00;;;Baroque
« Reborn ! »: collection performée;;Design;;Bastille Design Center;2021-09-01T19:00:00+02:00;2021-09-01T19:40:00+02:00;;;Street-art
Uderzo: Comme une potion magique;Tableau;Baroque;Peter Paul Rubens;Fondation Dina Vierny - Musée Maillol;2021-05-27T10:30:00+02:00;2021-09-30T18:30:00+02:00;;;Histoire
Fresque « Les héroïnes: Louise Michel et ses héritières »;;Street-art;;Bibliothèque Louise Michel;2021-09-23T18:00:00+02:00;2021-09-23T19:00:00+02:00;;;Autre expo
Jean à la Cité des sciences et de l'industrie;;Design;;Cité des sciences et de l'industrie;2020-12-08T10:00:00+01:00;2022-01-22T18:00:00+01:00;;;Art Contemporain
Wang Bing: L'œil qui marche;Photographie;contemporain;;Le BAL;2021-05-26T12:00:00+02:00;2021-11-14T19:00:00+01:00;;;Cubism
Monstres-sur-Marne;;Illustration;;Château de Champs-sur-Marne;2021-06-04T10:00:00+02:00;2021-11-07T17:00:00+01:00;;;Symbolism
Fresque collaborative;;Street-art;;Atelier Graffiti;2021-07-11T14:00:00+02:00;2021-08-25T17:00:00+02:00;;;Surrealism
Exposition Changer d'air de Jeanne Macaigne;;Illustration;;Médiathèque Marguerite Duras;2021-10-05T13:00:00+02:00;2021-11-27T18:00:00+01:00;;;Expressionism
Exposition De Main De Maitre;;Design;;Bastille Design Center;2021-09-03T10:03:00+02:00;2021-09-06T17:00:00+02:00;;;Impressionism
Exposition Parcours Révolution dans le quartier de Bastille;;Histoire;;Square Louis-Majorelle;2021-07-12T00:00:00+02:00;2021-09-06T00:00:00+02:00;;;Mannerism
DIVAS: D'OUM KALTHOUM À DALIDA;;Autre expo;;L'Institut du Monde Arabe;2021-05-19T10:00:00+02:00;2021-09-26T19:00:00+02:00;;;Post-Impressionism
"Vernissage : ""Réunion de particules en corps solides""";Tableau;Art Contemporain;;Atelier Martel;2021-06-07T11:00:00+02:00;2021-09-03T18:00:00+02:00;;;Primitivism
Giacometti et l'Égypte antique;Sculpture;Cubism;Rembrandt;Institut Giacometti;2021-06-22T10:00:00+02:00;2021-10-10T18:00:00+02:00;;;Renaissance
"Exposition de SEBASTIÃO SALGADO - ""BLESSURE""";Photographie;contemporain;;Espace Frans Krajcberg - Centre d'Art contemporain Art & Nature;2021-05-20T14:00:00+02:00;2021-10-27T20:00:00+02:00;;;Romanticism
D'une Bulle à l'autre...;Tableau;Art Contemporain;;COIN CANAL ANTIQUAIRE;2021-05-25T11:00:00+02:00;2021-09-30T19:00:00+02:00;;;Suprematism
LA COLLECTION MOROZOV - ICÔNES DE L’ART MODERNE;Tableau;Symbolism;Amedeo Modigliani;Fondation Louis Vuitton;2021-09-22T11:00:00+02:00;2022-02-21T20:00:00+01:00;;;0
LA COLLECTION MOROZOV - ICÔNES DE L’ART MODERNE;Tableau;Symbolism;Paul Cezanne;Fondation Louis Vuitton;2021-09-22T11:00:00+02:00;2022-02-21T20:00:00+01:00;;;
LA COLLECTION MOROZOV - ICÔNES DE L’ART MODERNE;Tableau;Symbolism;Gustav Klimt;Fondation Louis Vuitton;2021-09-22T11:00:00+02:00;2022-02-21T20:00:00+01:00;;;
LA COLLECTION MOROZOV - ICÔNES DE L’ART MODERNE;Tableau;Symbolism;Paul Gauguin;Fondation Louis Vuitton;2021-09-22T11:00:00+02:00;2022-02-21T20:00:00+01:00;;;
Chagall: Modigliani: Soutine… Paris pour école: 1905-1940;Tableau;Surrealism;Amedeo Modigliani;Musée d'art et d'histoire du judaïsme;2021-06-17T11:00:00+02:00;2021-10-31T18:00:00+01:00;;;
Chagall: Modigliani: Soutine… Paris pour école: 1905-1940;Tableau;Surrealism;Marc Chagall;Musée d'art et d'histoire du judaïsme;2021-06-17T11:00:00+02:00;2021-10-31T18:00:00+01:00;;;
Chagall: Modigliani: Soutine… Paris pour école: 1905-1940;Tableau;Surrealism;Peter Paul Rubens;Musée d'art et d'histoire du judaïsme;2021-06-17T11:00:00+02:00;2021-10-31T18:00:00+01:00;;;
Expo BD - Lucy Mazel : Un monde en couleurs;;Illustration;;Galerie Art Maniak;2021-09-03T10:00:00+02:00;2021-09-18T18:00:00+02:00;;;
Julia Daudet: son oeuvre;Tableau;Autre expo;;Maison Alphonse Daudet;2021-09-18T15:00:00+02:00;2021-09-19T18:00:00+02:00;;;
L’Art du Collage par Magoo Mc Coy;Tableau;Expressionism;Pablo Picasso;Bibliothèque Buffon;2021-10-01T13:00:00+02:00;2021-11-27T18:00:00+01:00;;;
Le Feu intérieur;Photographie;contemporain;;La Galerie Rouge;2021-04-02T14:00:00+02:00;2021-09-12T19:00:00+02:00;;;
TRANCHÉE RACINE;;Illustration;;La Halle Saint Pierre;2021-05-19T11:00:00+02:00;2022-01-02T18:00:00+01:00;;;
Les Damnés de la Commune: dans l’atelier de Raphaël Meyssan;;Histoire;;Mairie du 20e arrondissement;2021-09-04T09:00:00+02:00;2021-10-16T17:00:00+02:00;;;
Original du mois : La zone de Paris entre 1936 et 1944;Photographie;contemporain;;Bibliothèque Colette Vivier;2021-10-01T14:00:00+02:00;2021-11-13T18:00:00+01:00;;;
Sebastião et Lélia Salgado;Photographie;contemporain;;Cité de la musique;2021-05-20T10:00:00+02:00;2021-10-31T20:00:00+01:00;;;
Performance d'art urbain : Petite Poissone;;Street-art;;Le Mur Oberkampf;2021-08-21T00:00:00+02:00;2021-09-02T00:00:00+02:00;;;
La chronophotographie ou la naissance du cinéma scientifique;Photographie;contemporain;;Bibliothèque du cinéma François Truffaut;2021-10-01T12:00:00+02:00;2021-10-31T18:00:00+01:00;;;
Exposition Hotel Sahara;Tableau;Art Contemporain;;Magasins généraux;2021-06-12T12:00:00+02:00;2021-10-02T19:00:00+02:00;;;
Exploration du domaine public: de Paris 2013 à Paris 2020;Photographie;contemporain;;Buttes-Chaumont: grilles Botzaris;2021-06-28T00:00:00+02:00;2021-08-31T23:59:00+02:00;;;
Édition Limitée - Vollard: Petiet et l'estampe de maîtres;Tableau;Impressionism;Amedeo Modigliani;Petit Palais - Musée des beaux-arts de la Ville de Paris;2021-05-19T10:00:00+02:00;2021-08-29T18:00:00+02:00;;;
Exposition Kott & Hana by Quand les fleurs nous sauvent;Tableau;Art Contemporain;;;2021-09-16T11:00:00+02:00;2021-10-03T19:00:00+02:00;;;
Victor Hugo. Dessins;Tableau;Mannerism;Paul Klee;Maison de Victor Hugo;2021-06-10T10:00:00+02:00;2021-11-21T18:00:00+01:00;;;
Expositions À portée demain;Tableau;Autre expo;;Paris Rendez-Vous;2021-09-01T10:00:00+02:00;2021-09-18T19:00:00+02:00;;;
Exposition 1920;;Autre expo;;Médiathèque Marguerite Yourcenar;2021-11-02T13:00:00+01:00;2021-12-12T19:00:00+01:00;;;
La Fabrique du Regard du BAL s'expose;Photographie;contemporain;;Pont Saint-Ange;2021-06-07T06:00:00+02:00;2021-08-28T21:00:00+02:00;;;
Booksocks: des livres et des chaussettes;Photographie;contemporain;;Médiathèque Violette Leduc ex Bibliothèque Faidherbe;2021-09-07T13:00:00+02:00;2021-10-02T18:00:00+02:00;;;
Expositions de photos de Martine Camillieri;Photographie;contemporain;;Bibliothèque Arthur Rimbaud;2021-09-11T10:00:00+02:00;2021-10-09T18:00:00+02:00;;;
ITINÉRANCES DE L’ÊTRE – VOL1;Tableau;Art Contemporain;;Galerie Mémoire de l'Avenir;2021-07-10T11:00:00+02:00;2021-08-28T19:00:00+02:00;;;
Rencontre avec l'artiste Christelle Téa;Tableau;Art Contemporain;;Musée Cognacq-Jay;2021-09-18T14:00:00+02:00;2021-09-18T18:00:00+02:00;;;
PICASSO - RODIN;Tableau;Cubism;Pablo Picasso;Musée Rodin;2021-05-19T10:00:00+02:00;2022-01-02T18:30:00+01:00;;;
PICASSO - RODIN;Tableau;Cubism;Claude Monet;Musée Rodin;2021-05-19T10:00:00+02:00;2022-01-02T18:30:00+01:00;;;
PICASSO - RODIN;Tableau;Cubism;Henri Matisse;Musée Rodin;2021-05-19T10:00:00+02:00;2022-01-02T18:30:00+01:00;;;
Fragiles colosses de Michel Bassompierre;Tableau;Autre expo;;Jardin des Plantes;2021-04-30T08:00:00+02:00;2021-08-30T20:00:00+02:00;;;
POEM;;Street-art;;Le VILLAGE;2021-08-09T10:00:00+02:00;2021-10-09T18:00:00+02:00;;;
ArtPositive;Tableau;Art Contemporain;;Galerie Marie de Holmsky;2021-09-07T13:00:00+02:00;2021-09-24T19:00:00+02:00;;;
"Découvrez ""Aux Frontières de l'Humain"" au Musée de l'Homme !";;Histoire;;Musée de l'Homme;2021-10-13T11:00:00+02:00;2022-05-30T19:00:00+02:00;;;
Visite guidée de l’exposition en présence de l’artiste;Tableau;Art Contemporain;;Institut des Cultures d'Islam (ICI);2021-08-24T18:00:00+02:00;2021-08-24T19:30:00+02:00;;;
Sièges modernes;;Design;;Villa Savoye;2021-06-04T10:00:00+02:00;2021-09-26T18:00:00+02:00;;;
Exposition Ahmad Abdallah Dandori;Tableau;Art Contemporain;;Bibliothèque Václav Havel;2021-05-07T14:00:00+02:00;2021-08-28T18:00:00+02:00;;;
Onna (femmes) de Daido Moriyama;Photographie;contemporain;;Galerie Da-End;2021-09-04T11:00:00+02:00;2021-09-25T19:00:00+02:00;;;
Edward Burtynsky – Mounds and Voids;Photographie;contemporain;;Centre Culturel Canadien;2021-06-01T10:00:00+02:00;2021-09-17T17:30:00+02:00;;;
"Exposition / ""Contre notre meilleure nature"" - Grace Grothau";Tableau;Art Contemporain;;Cité internationale des arts;2021-08-12T17:00:00+02:00;2021-09-04T20:00:00+02:00;;;
Children Power: Exposition interdite aux + de 18 ans;Photographie;contemporain;;Le Plateau - FRAC Ile-de-France;2021-05-19T14:00:00+02:00;2021-12-19T19:00:00+01:00;;;
Histoires de photographies: collections du MAD;Photographie;contemporain;;Musée des arts Décoratifs;2021-05-19T11:00:00+02:00;2021-12-12T18:00:00+01:00;;;
À première vue;Tableau;Art Contemporain;;Saint-Germain-des-Prés;2021-07-25T00:01:00+02:00;2021-09-02T23:59:00+02:00;;;
"Exposition ""Le vieux Bercy"" par Patrick Bezzolato";Photographie;contemporain;;Médiathèque Hélène Berr;2021-09-07T13:00:00+02:00;2021-10-02T18:00:00+02:00;;;
Communardes;Photographie;contemporain;;Médiathèque Edmond Rostand;2021-07-10T13:00:00+02:00;2021-09-11T18:00:00+02:00;;;
"Exposition Hélène Berr ""Une Vie confisquée""";;Histoire;;Médiathèque Hélène Berr;2021-10-26T13:00:00+02:00;2021-11-27T18:00:00+01:00;;;
Carte blanche à William Amor: les créations messagères;;Design;;Musée Cognacq-Jay;2021-09-09T10:00:00+02:00;2021-09-19T18:00:00+02:00;;;
